BILLAR EL BRUJO - STOCK DEL TXT (CANTIDADES EN PAQUETES)

AGUA | AGUA 2L | stock=9
AGUA | AGUA CON GAS | stock=11
AGUA | AGUA SIN GAS | stock=21
AGUA | AGUA TONICA | stock=11
AGUA | SANTE GRANDE | stock=13
AGUA | SANTE PEQUEÑO | stock=7
ENERGIZANTE | BLACK | stock=7
ENERGIZANTE | CICLON | stock=14
ENERGIZANTE | POWER CHICO | stock=5
ENERGIZANTE | POWER GRANDE | stock=4
ENERGIZANTE | RED BULL | stock=22
SODA | COCA COLA 2L | stock=4
SODA | COCA COLA 3L | stock=5
SODA | FANTA 2L | stock=12
SODA | PEQUE | stock=36
SODA | SPRITE 2L | stock=15
COCA MACHUCADA | COCA AMAIRE N | stock=5
COCA MACHUCADA | COCA BICO ESTEBIA | stock=15
COCA MACHUCADA | COCA MARACUYA | stock=9
COCA MACHUCADA | COCA MEDUSA | stock=15
COCA MACHUCADA | COCA MEDUSA N | stock=28
COCA MACHUCADA | COCA REDBUL | stock=8
COCA MACHUCADA | COCA SANDIA REDBUL | stock=3
COCA MACHUCADA | COCA YOGUBOL | stock=8
COCA MACHUCADA | COCA YOGUBOL N | stock=4
COCA MACHUCADA | COCA YOGURT REDBUL | stock=8
CIGARRO | BOHEM BLACK | stock=10
CIGARRO | BOHEM SANDIA | stock=16
CIGARRO | BOHEM YOGURT | stock=0
CIGARRO | CAMEL ACTIVA | stock=9
CIGARRO | CAMEL CHICO ACTIVA | stock=1
CIGARRO | CAMEL CHICO SANDIA | stock=43
CIGARRO | CAMEL SANDIA | stock=13
CIGARRO | HILLS | stock=10
CIGARRO | HILLS SANDIA | stock=10
CERVEZA | CERVEZA AMSTEL | stock=1
CERVEZA | CERVEZA CORONA | stock=16
CERVEZA | CERVEZA SKOL | stock=44
TRAGO | AMARULA | stock=1
TRAGO | FERNET | stock=2
TRAGO | FLOR DE CAÑA | stock=15
TRAGO | FLOW ACHACHAIRU | stock=22
TRAGO | FLOW CHUFLAY | stock=12
TRAGO | FLOW NENE | stock=12
TRAGO | FOUR LOCO | stock=17
TRAGO | GIN | stock=2
TRAGO | HAVANA | stock=3
TRAGO | ICE 51 | stock=20
TRAGO | NOCHE ICE | stock=1
TRAGO | OLD | stock=0
TRAGO | RON ABUELO | stock=2
TRAGO | TEQUILA | stock=2
TRAGO | VINO BLANCO | stock=4
TRAGO | VINO TINTO | stock=14
TRAGO | WHIKY BLACK LABEL | stock=1
COMBOS | COMBO FERNET | stock=2
COMBOS | COMBO FLOR DE CAÑA | stock=3
COMBOS | COMBO RON ABUELO | stock=2
LO QUE SE SIRVE EN VASO | VASO CHUFLAY | stock=10
LO QUE SE SIRVE EN VASO | VASO FERNET | stock=10
LO QUE SE SIRVE EN VASO | VASO FLOR DE CAÑA | stock=10
LO QUE SE SIRVE EN VASO | VASO RUM/RON ABUELO | stock=10
LO QUE SE SIRVE EN VASO | VASO TEQUILA | stock=10
LO QUE SE SIRVE EN VASO | VASO VINO | stock=10
LO QUE SE SIRVE EN VASO | VASO VINO tinto | stock=10
LO QUE SE SIRVE EN VASO | VASO WHISKY | stock=10
SNACKS Y PIQUEOS | NACHO LIMON | stock=0
SNACKS Y PIQUEOS | NACHO NORMAL | stock=8
SNACKS Y PIQUEOS | NACHO PICANTE | stock=7
SNACKS Y PIQUEOS | NACHO SABOR QUESO | stock=10
SNACKS Y PIQUEOS | PAPA CHURRAZCO | stock=13
SNACKS Y PIQUEOS | PAPA NAX NORMALES | stock=4
SNACKS Y PIQUEOS | PINZONES CHOCOLATE | stock=4
SNACKS Y PIQUEOS | PIZONES PICANTE | stock=9
SNACKS Y PIQUEOS | PLATANITO | stock=5
SNACKS Y PIQUEOS | TAKIS | stock=0
DULCES Y GOLOSINAS | ARCOR | stock=0
DULCES Y GOLOSINAS | BELDEN | stock=0
DULCES Y GOLOSINAS | CHICLE | stock=44
DULCES Y GOLOSINAS | CHICLE GRANDE | stock=11
DULCES Y GOLOSINAS | CHICLE PEQUEÑO | stock=10
DULCES Y GOLOSINAS | CHUPETE | stock=0
DULCES Y GOLOSINAS | CLORETS | stock=73
DULCES Y GOLOSINAS | COCA CHICLE | stock=14
DULCES Y GOLOSINAS | COCA CHICLE N | stock=4
DULCES Y GOLOSINAS | EUCALIPTO | stock=12
DULCES Y GOLOSINAS | GROSO | stock=24
DULCES Y GOLOSINAS | HALLS | stock=10
DULCES Y GOLOSINAS | MABEL | stock=0
DULCES Y GOLOSINAS | MINT | stock=6
DULCES Y GOLOSINAS | MINTY | stock=4
MOBILIARIO Y OTROS | ALIKAL | stock=2
MOBILIARIO Y OTROS | COPA | stock=15
MOBILIARIO Y OTROS | MESAS | stock=14
MOBILIARIO Y OTROS | SILLAS | stock=30
MOBILIARIO Y OTROS | VASOS DE WISKI | stock=10
MOBILIARIO Y OTROS | VASOS TEQUILERO | stock=4
MOBILIARIO Y OTROS | VICO | stock=86
